SEX,COUNTRY,YEAR,rate
BTSX,CAN,2016,11.8649
BTSX,CAN,2012,11.7759
BTSX,CAN,2013,12.0905
MLE,CAN,2017,19.7765
BTSX,CAN,2014,12.7077
BTSX,CAN,2011,11.2693
FMLE,CAN,2014,6.82
BTSX,CAN,2017,13.0454
MLE,CAN,2019,17.6075
MLE,CAN,2012,17.4621
MLE,CAN,2018,17.8757
MLE,CHE,2010,19.8807
MLE,CHE,2013,21.0089
BTSX,CHE,2014,14.7172
FMLE,CHE,2018,9.0
FMLE,CHE,2010,9.23
MLE,CHE,2018,20.1022
MLE,CHE,2017,20.4643
MLE,CHE,2015,20.5384
BTSX,CHE,2016,14.0704
FMLE,CHE,2016,8.43
BTSX,CHL,2019,8.97
MLE,CHL,2019,14.9196
MLE,CHL,2016,16.7657
BTSX,CHL,2016,9.99
FMLE,CHL,2010,4.39
FMLE,CHL,2012,3.77
FMLE,CHL,2015,4.13
FMLE,CHL,2016,3.42
MLE,CHL,2011,19.3565
MLE,CHL,2018,14.5975
MLE,CHL,2010,19.0624
FMLE,CHE,2019,9.01
MLE,CHE,2011,20.2221
MLE,CHE,2019,20.1614
BTSX,CHE,2013,15.0707
FMLE,CHE,2012,9.29
FMLE,CHE,2014,9.7
MLE,CHE,2016,19.815
MLE,CHE,2012,20.2712
FMLE,CHE,2017,8.94
BTSX,CHE,2019,14.5385
BTSX,CHL,2010,11.6098
BTSX,CHL,2017,9.27
FMLE,CHL,2018,3.19
BTSX,CHL,2015,9.97
MLE,CHL,2014,16.3991
BTSX,CHL,2014,9.85
BTSX,CHL,2018,8.81
BTSX,CHL,2011,11.6769
MLE,CHL,2015,15.9967
MLE,CHN,2014,9.96
MLE,CHN,2016,9.9
BTSX,CHN,2016,8.16
BTSX,CHN,2013,8.59
MLE,CHL,2012,17.4877
BTSX,CHL,2012,10.5201
FMLE,CHL,2011,4.24
FMLE,CHL,2014,3.49
FMLE,CHL,2019,3.19
FMLE,CHL,2013,3.6
FMLE,CHL,2017,3.17
BTSX,CHL,2013,9.8
MLE,CHL,2013,16.19
MLE,CHL,2017,15.5487
BTSX,CHN,2011,9.6
FMLE,CHN,2017,6.27
FMLE,CHN,2012,7.42
MLE,CHN,2011,11.011
BTSX,CHN,2010,10.2372
MLE,CHN,2013,10.1153
BTSX,CHN,2019,8.07
FMLE,CHN,2015,6.36
MLE,CHN,2017,9.92
BTSX,CHN,2018,8.13
FMLE,CHN,2014,6.65
BTSX,CHN,2012,9.0
FMLE,CIV,2017,2.88
FMLE,CIV,2013,3.79
FMLE,CIV,2018,2.8
MLE,CIV,2013,18.2445
MLE,CIV,2014,17.4057
FMLE,CHN,2018,6.27
FMLE,CHN,2013,6.97
BTSX,CHN,2015,8.13
FMLE,CHN,2010,8.72
FMLE,CHN,2019,6.24
BTSX,CHN,2017,8.14
FMLE,CHN,2011,8.11
MLE,CHN,2012,10.4952
FMLE,CHN,2016,6.31
MLE,CHN,2018,9.9
BTSX,CHN,2014,8.35
MLE,CHN,2015,9.81
MLE,CHN,2010,11.6708
MLE,CHN,2019,9.81
MLE,CIV,2015,16.55
FMLE,CIV,2011,3.93
BTSX,CIV,2011,11.1256
FMLE,CIV,2014,3.5
BTSX,CIV,2010,11.364
BTSX,CIV,2013,11.1113
MLE,CIV,2012,18.4644
FMLE,CIV,2010,4.46
FMLE,CIV,2012,3.85
MLE,CIV,2018,15.0326
BTSX,CIV,2014,10.5387
FMLE,CIV,2015,3.3
MLE,CIV,2016,15.9244
BTSX,CMR,2015,9.46
MLE,CMR,2018,13.5276
BTSX,CMR,2010,10.8053
MLE,CIV,2017,15.3912
FMLE,CIV,2019,2.83
BTSX,CIV,2018,8.98
BTSX,CIV,2019,8.9
FMLE,CIV,2016,3.08
MLE,CIV,2019,14.8559
BTSX,CIV,2016,9.57
BTSX,CIV,2015,10.0022
BTSX,CIV,2017,9.2
BTSX,CIV,2012,11.26
MLE,CIV,2010,18.0591
MLE,CIV,2011,18.1166
FMLE,CMR,2019,4.4
FMLE,CMR,2014,5.15
FMLE,CMR,2013,5.32
FMLE,CMR,2016,4.52
BTSX,CMR,2016,9.22
BTSX,CMR,2013,10.3978
MLE,CMR,2014,14.8
BTSX,CMR,2014,9.97
BTSX,CMR,2011,10.7706
MLE,CMR,2010,16.1238
BTSX,CMR,2017,8.98
BTSX,CMR,2018,8.9
BTSX,COD,2018,6.72
BTSX,COD,2014,6.74
FMLE,COD,2011,3.13
FMLE,COD,2017,2.73
MLE,CMR,2019,13.6282
MLE,CMR,2011,16.1842
MLE,CMR,2016,13.9176
FMLE,CMR,2018,4.28
FMLE,CMR,2012,5.03
FMLE,CMR,2010,5.5
MLE,CMR,2017,13.658
BTSX,CMR,2019,9.02
MLE,CMR,2015,14.1447
MLE,CMR,2013,15.4864
BTSX,CMR,2012,10.6245
FMLE,CMR,2017,4.31
FMLE,CMR,2015,4.78
FMLE,CMR,2011,5.37
MLE,CMR,2012,16.2299
MLE,COD,2018,10.657
MLE,COD,2011,11.1041
BTSX,COD,2016,6.53
BTSX,COD,2011,7.1
FMLE,COD,2014,2.92
BTSX,COD,2015,6.61
BTSX,COD,2013,6.83
FMLE,COD,2010,3.23
FMLE,COD,2019,2.77
MLE,COD,2015,10.3968
BTSX,COD,2010,7.19
MLE,COD,2013,10.7463
FMLE,COD,2012,3.02
FMLE,COD,2015,2.84
BTSX,COD,2019,6.7
MLE,COD,2019,10.6332
MLE,COG,2012,11.8303
BTSX,COG,2014,7.5
MLE,COG,2017,9.3
FMLE,COG,2012,5.95
BTSX,COG,2016,6.74
MLE,COG,2019,9.52
BTSX,COG,2019,6.48
FMLE,COG,2014,4.96
BTSX,COD,2012,6.93
MLE,COD,2012,10.8772
MLE,COD,2017,10.3054
MLE,COD,2016,10.2978
BTSX,COD,2017,6.51
MLE,COD,2010,11.1795
FMLE,COD,2018,2.8
MLE,COD,2014,10.5881
FMLE,COD,2016,2.78
FMLE,COD,2013,2.93
MLE,COG,2013,10.9818
MLE,COG,2018,9.28
FMLE,COG,2019,3.45
BTSX,COG,2012,8.88
FMLE,COG,2016,4.02
MLE,COG,2016,9.47
MLE,COG,2014,10.0614
FMLE,COG,2017,3.86
FMLE,COL,2015,1.87
FMLE,COL,2012,1.54
BTSX,COL,2013,3.66
FMLE,COL,2016,1.64
BTSX,COL,2014,3.75
FMLE,COL,2013,1.53
FMLE,COL,2010,1.53
MLE,COL,2014,6.16
FMLE,COL,2014,1.43
FMLE,COL,2019,1.75
FMLE,COG,2013,5.33
BTSX,COG,2015,6.79
MLE,COG,2015,9.38
FMLE,COG,2010,6.44
FMLE,COG,2011,5.87
BTSX,COG,2010,9.01
MLE,COG,2010,11.6192
BTSX,COG,2013,8.15
FMLE,COG,2015,4.21
MLE,COG,2011,11.4692
BTSX,COG,2011,8.66
BTSX,COG,2017,6.58
FMLE,COG,2018,3.62
BTSX,COG,2018,6.45
MLE,COL,2016,6.92
BTSX,COL,2010,3.83
MLE,COL,2017,7.55
MLE,COL,2012,6.21
FMLE,COL,2017,1.87
BTSX,COL,2017,4.66
BTSX,COM,2011,5.1
FMLE,COL,2011,1.52
BTSX,COL,2016,4.23
FMLE,COL,2018,1.74
BTSX,COL,2018,4.02
MLE,COL,2013,5.87
BTSX,COL,2011,3.67
BTSX,COL,2019,3.9
MLE,COL,2011,5.92
MLE,COL,2010,6.22
MLE,COL,2019,6.13
BTSX,COL,2012,3.82
BTSX,COL,2015,4.13
MLE,COL,2018,6.4
MLE,COL,2015,6.48
FMLE,COM,2016,3.87
FMLE,COM,2014,3.94
MLE,COM,2010,6.98
BTSX,COM,2017,5.41
BTSX,COM,2012,5.24
BTSX,COM,2015,5.51
MLE,COM,2013,6.54
FMLE,COM,2019,3.75
MLE,COM,2011,6.28
FMLE,COM,2011,3.89
FMLE,COM,2010,4.13
FMLE,COM,2012,3.88
FMLE,COM,2018,3.76
MLE,COM,2018,6.94
FMLE,COM,2017,3.8
BTSX,COM,2019,5.38
FMLE,CPV,2019,4.45
MLE,CPV,2015,23.9919
MLE,CPV,2018,22.2002
BTSX,CPV,2019,12.9289
FMLE,CPV,2014,4.84
BTSX,CPV,2013,14.646
BTSX,CPV,2015,14.4129
MLE,CPV,2011,24.8306
MLE,CPV,2014,23.8402
BTSX,CPV,2012,14.8899
MLE,CPV,2017,23.668
FMLE,CPV,2010,4.85
FMLE,CPV,2013,4.95
FMLE,CPV,2015,4.78
BTSX,CPV,2011,14.8225
MLE,CPV,2012,24.772
MLE,COM,2012,6.57
MLE,CPV,2013,24.2884
MLE,CPV,2019,21.3425
BTSX,CPV,2018,13.3771
FMLE,CPV,2017,4.57
MLE,CPV,2010,24.7388
FMLE,CPV,2018,4.49
BTSX,CPV,2016,14.3527
BTSX,CPV,2014,14.3658
BTSX,CPV,2017,14.1519
FMLE,CPV,2016,4.7
FMLE,CPV,2011,4.79
FMLE,CRI,2018,2.19
MLE,CRI,2016,13.0
MLE,CRI,2017,9.92
BTSX,CRI,2013,6.72
FMLE,COM,2013,3.8
MLE,COM,2014,7.1
MLE,COM,2017,6.99
MLE,COM,2015,7.08
MLE,COM,2019,6.99
BTSX,COM,2010,5.57
BTSX,COM,2018,5.36
FMLE,COM,2015,3.9
MLE,COM,2016,7.08
BTSX,COM,2014,5.53
BTSX,COM,2013,5.18
BTSX,COM,2016,5.49
MLE,CPV,2016,23.9491
BTSX,CPV,2010,14.7859
FMLE,CPV,2012,4.96
BTSX,CRI,2012,6.56
FMLE,CRI,2011,2.35
FMLE,CRI,2010,1.95
MLE,CRI,2011,11.4304
MLE,CRI,2013,11.6509
MLE,CRI,2010,11.835
BTSX,CRI,2011,6.9
BTSX,CRI,2018,7.18
BTSX,CRI,2019,8.06
BTSX,CRI,2016,7.66
FMLE,CRI,2014,1.89
MLE,CRI,2015,11.1854
FMLE,CRI,2012,1.94
BTSX,CRI,2017,6.12
MLE,CRI,2012,11.1583
MLE,CRI,2019,14.1227
BTSX,CRI,2010,6.9
FMLE,CRI,2019,2.0
FMLE,CRI,2013,1.78
FMLE,CRI,2017,2.32
FMLE,CRI,2015,2.28
FMLE,CRI,2016,2.32
MLE,CRI,2014,9.35
MLE,CRI,2018,12.1787
BTSX,CRI,2015,6.73
BTSX,CRI,2014,5.63
MLE,CUB,2016,21.3887
MLE,CUB,2012,22.2751
FMLE,CUB,2010,6.08
BTSX,CUB,2018,14.2501
FMLE,CUB,2016,5.44
BTSX,CUB,2013,13.942
MLE,CUB,2017,22.9178
MLE,CUB,2015,22.5362
FMLE,CUB,2019,6.0
MLE,CUB,2018,22.7071
FMLE,CUB,2015,5.63
MLE,CUB,2013,22.4302
MLE,CUB,2011,22.4867
BTSX,CUB,2015,14.0314
BTSX,CUB,2014,13.4379
FMLE,CUB,2018,5.91
BTSX,CUB,2011,14.1354
FMLE,CUB,2014,5.68
BTSX,CUB,2010,14.4331
FMLE,CUB,2012,5.42
FMLE,CUB,2017,6.28
BTSX,CUB,2017,14.5456
FMLE,CUB,2013,5.55
BTSX,CUB,2019,14.4504
MLE,CUB,2010,22.8766
FMLE,CUB,2011,5.88
BTSX,CUB,2016,13.3618
MLE,CUB,2014,21.2866
MLE,CUB,2019,23.0219
BTSX,CUB,2012,13.7971
BTSX,CYP,2011,4.26
FMLE,CYP,2018,1.78
BTSX,CYP,2017,3.69
FMLE,CYP,2015,2.1
FMLE,CYP,2016,1.23
BTSX,CYP,2019,3.64
BTSX,CYP,2018,4.16
MLE,CYP,2011,7.57
BTSX,CYP,2015,4.7
BTSX,CYP,2012,5.39
BTSX,CYP,2016,4.63
FMLE,CYP,2013,1.25
MLE,CYP,2012,9.91
MLE,CYP,2019,6.02
FMLE,CYP,2011,0.969
BTSX,CYP,2014,5.36
MLE,CYP,2013,10.2237
BTSX,CYP,2013,5.73
MLE,CYP,2015,7.29
FMLE,CYP,2019,1.27
FMLE,CYP,2012,0.887
MLE,CYP,2010,8.44
FMLE,CYP,2010,2.14
MLE,CYP,2018,6.55
FMLE,CYP,2017,0.978
MLE,CYP,2014,7.62
FMLE,CYP,2014,3.1
MLE,CYP,2017,6.39
MLE,CYP,2016,8.01
BTSX,CYP,2010,5.29
MLE,CZE,2014,24.0948
MLE,CZE,2017,22.412
FMLE,CZE,2010,5.09
FMLE,CZE,2011,5.16
FMLE,CZE,2012,5.59
BTSX,CZE,2019,12.1774
FMLE,CZE,2014,5.85
BTSX,CZE,2018,13.5563
BTSX,CZE,2013,15.6901
MLE,CZE,2018,22.2731
BTSX,CZE,2014,14.8151
MLE,CZE,2012,28.2022
MLE,CZE,2019,19.7531
BTSX,CZE,2016,12.9938
BTSX,CZE,2011,16.0637
MLE,CZE,2010,25.3604
BTSX,CZE,2012,16.7004
FMLE,CZE,2015,4.97
MLE,CZE,2015,22.4713
BTSX,CZE,2015,13.5699
FMLE,CZE,2013,5.68
MLE,CZE,2013,26.054
MLE,CZE,2011,27.3574
MLE,CZE,2016,21.2283
FMLE,CZE,2017,5.72
BTSX,CZE,2017,13.9276
FMLE,CZE,2018,5.12
MLE,DEU,2013,19.9044
MLE,DEU,2012,18.9377
FMLE,DEU,2018,6.76
MLE,DEU,2019,18.6175
MLE,DEU,2017,18.7684
BTSX,DEU,2012,12.8716
MLE,DEU,2011,20.0354
BTSX,DEU,2018,12.883
BTSX,DEU,2016,13.0238
BTSX,DEU,2019,12.3139
FMLE,DEU,2014,6.89
MLE,DEU,2016,19.4
FMLE,DEU,2011,6.66
MLE,DEU,2010,19.9644
BTSX,DEU,2014,13.3754
FMLE,DEU,2015,7.26
MLE,DEU,2015,19.4711
FMLE,DEU,2013,7.16
MLE,DEU,2018,19.1749
BTSX,DEU,2013,13.4192
BTSX,DEU,2011,13.2195
FMLE,DEU,2019,6.16
FMLE,DEU,2010,6.77
BTSX,DJI,2016,9.32
BTSX,DJI,2018,9.7
BTSX,DJI,2010,8.22
FMLE,DJI,2010,5.59
MLE,DJI,2019,12.6034
BTSX,DJI,2013,9.0
FMLE,DJI,2018,6.45
BTSX,DJI,2019,9.64
FMLE,DJI,2012,5.73
FMLE,DJI,2011,5.65
FMLE,DJI,2016,6.19
MLE,DJI,2010,10.5241
MLE,DJI,2015,11.6302
FMLE,DJI,2017,6.38
BTSX,DJI,2014,9.18
MLE,DJI,2013,11.6286
MLE,DJI,2011,10.9381
BTSX,DJI,2017,9.7
FMLE,DEU,2017,6.56
BTSX,DEU,2017,12.5764
BTSX,DEU,2015,13.2667
BTSX,CZE,2010,15.0393
FMLE,CZE,2016,5.04
FMLE,CZE,2019,4.84
FMLE,DEU,2016,6.84
BTSX,DEU,2010,13.239
MLE,DEU,2014,20.0849
FMLE,DEU,2012,7.03
MLE,DJI,2016,12.1294
FMLE,DJI,2019,6.35
BTSX,DJI,2011,8.47
MLE,DJI,2014,11.9087
MLE,DJI,2018,12.6308
FMLE,DJI,2014,6.1
FMLE,DJI,2013,6.01
BTSX,DJI,2015,9.02
BTSX,DJI,2012,8.66
FMLE,DJI,2015,6.1
MLE,DJI,2012,11.2196
MLE,DJI,2017,12.6771
MLE,DNK,2013,17.4237
BTSX,DNK,2019,10.6956
FMLE,DNK,2019,6.5
BTSX,DNK,2011,12.5667
MLE,DNK,2017,15.617
FMLE,DNK,2012,6.92
BTSX,DNK,2013,12.1265
BTSX,DNK,2014,11.9822
MLE,DNK,2011,18.1284
MLE,DNK,2019,14.9349
FMLE,DNK,2011,7.08
BTSX,DNK,2015,10.9294
BTSX,DNK,2010,11.7973
MLE,DNK,2016,15.6805
FMLE,DNK,2018,7.03
MLE,DNK,2018,15.7559
FMLE,DNK,2017,7.12
MLE,DNK,2010,16.4544
FMLE,DNK,2010,7.21
FMLE,DNK,2015,7.21
FMLE,DNK,2014,6.7
BTSX,DNK,2017,11.3453
MLE,DNK,2015,14.6874
BTSX,DNK,2016,10.8706
FMLE,DNK,2013,6.89
BTSX,DNK,2012,12.8035
BTSX,DNK,2018,11.3681
MLE,DNK,2012,18.7656
FMLE,DNK,2016,6.11
MLE,DNK,2014,17.3209
BTSX,DOM,2013,5.49
FMLE,DOM,2015,2.35
FMLE,DOM,2014,2.21
BTSX,DOM,2017,5.69
BTSX,DOM,2019,4.93
BTSX,DOM,2014,6.06
FMLE,DOM,2010,1.69
MLE,DOM,2019,8.03
FMLE,DOM,2016,2.33
FMLE,DOM,2012,1.88
BTSX,DOM,2012,5.2
FMLE,DOM,2019,1.84
MLE,DOM,2018,8.53
BTSX,DOM,2011,4.88
MLE,DOM,2010,7.72
BTSX,DOM,2018,5.24
MLE,DZA,2019,3.13
MLE,DZA,2010,3.82
BTSX,DZA,2010,3.03
MLE,DZA,2014,3.48
FMLE,DZA,2019,1.83
MLE,DZA,2017,3.05
BTSX,DZA,2014,2.76
MLE,DZA,2011,3.73
MLE,DZA,2015,3.36
FMLE,DOM,2013,2.0
MLE,DOM,2015,10.3803
FMLE,DOM,2011,1.77
FMLE,DOM,2018,1.95
MLE,DOM,2011,7.97
MLE,DOM,2016,10.3888
FMLE,DOM,2017,2.13
MLE,DOM,2017,9.24
MLE,DOM,2013,8.98
BTSX,DOM,2016,6.36
BTSX,DOM,2015,6.37
MLE,DOM,2012,8.51
BTSX,DOM,2010,4.72
MLE,DOM,2014,9.89
MLE,DZA,2016,3.18
FMLE,DZA,2016,1.91
FMLE,DZA,2017,1.86
FMLE,DZA,2010,2.22
MLE,DZA,2013,3.61
FMLE,DZA,2015,1.99
FMLE,DZA,2012,2.12
FMLE,DZA,2018,1.86
BTSX,DZA,2015,2.68
BTSX,DZA,2012,2.9
MLE,DZA,2012,3.66
FMLE,DZA,2014,2.02
BTSX,DZA,2017,2.46
BTSX,DZA,2011,2.95
BTSX,DZA,2016,2.55
BTSX,DZA,2018,2.48
MLE,DZA,2018,3.09
BTSX,DZA,2019,2.49
FMLE,DZA,2011,2.15
BTSX,DZA,2013,2.85
FMLE,DZA,2013,2.07
FMLE,ECU,2015,4.28
MLE,ECU,2015,13.2792
MLE,ECU,2013,14.1628
FMLE,ECU,2018,3.85
FMLE,ECU,2019,3.63
BTSX,ECU,2010,9.92
BTSX,ECU,2016,8.96
BTSX,ECU,2013,9.55
MLE,ECU,2016,13.5822
MLE,ECU,2010,14.2815
MLE,ECU,2011,14.2671
MLE,ECU,2018,12.2491
FMLE,ECU,2017,4.25
BTSX,ECU,2019,7.63
FMLE,ECU,2012,5.18
BTSX,ECU,2014,8.78
BTSX,ECU,2017,9.2
MLE,ECU,2017,14.1456
FMLE,ECU,2016,4.32
MLE,ECU,2019,11.63
BTSX,ECU,2012,10.1035
FMLE,ECU,2014,4.54
FMLE,ECU,2010,5.54
MLE,ECU,2012,15.009
BTSX,ECU,2018,8.05
MLE,ECU,2014,13.0011
FMLE,ECU,2011,5.3
BTSX,ECU,2015,8.79
BTSX,ECU,2011,9.79
FMLE,ECU,2013,4.92
BTSX,EGY,2014,3.29
BTSX,EGY,2018,2.96
MLE,EGY,2015,4.36
MLE,EGY,2019,4.0
BTSX,EGY,2016,3.2
MLE,EGY,2018,3.89
FMLE,EGY,2019,2.0
BTSX,EGY,2019,3.01
BTSX,EGY,2015,3.28
MLE,EGY,2011,4.45
FMLE,EGY,2015,2.17
FMLE,EGY,2017,1.95
MLE,EGY,2012,4.58
MLE,EGY,2014,4.42
MLE,EGY,2017,3.99
FMLE,EGY,2011,2.15
FMLE,EGY,2016,2.07
FMLE,EGY,2018,2.0
BTSX,EGY,2010,3.21
BTSX,EGY,2017,2.98
MLE,ERI,2017,17.2935
FMLE,ERI,2015,5.5
MLE,ERI,2012,18.8315
MLE,ERI,2015,17.777
MLE,ERI,2018,17.1992
BTSX,ERI,2018,11.2818
FMLE,ERI,2016,5.44
BTSX,ERI,2014,11.745
FMLE,ERI,2011,5.81
MLE,ERI,2014,17.9788
BTSX,ERI,2015,11.6475
MLE,ERI,2010,19.5438
FMLE,ERI,2017,5.35
FMLE,ERI,2010,5.94
BTSX,ERI,2019,10.9147
BTSX,ERI,2017,11.333
FMLE,ERI,2018,5.34
MLE,ERI,2011,19.2317
MLE,ERI,2016,17.4766
FMLE,ERI,2012,5.7
BTSX,ERI,2011,12.5183
MLE,ERI,2013,18.3564
BTSX,ERI,2013,11.9748
FMLE,ERI,2013,5.58
BTSX,ERI,2012,12.2692
FMLE,ERI,2019,5.22
FMLE,EGY,2013,2.14
MLE,EGY,2013,4.62
MLE,EGY,2010,4.14
BTSX,EGY,2011,3.31
BTSX,EGY,2013,3.39
BTSX,EGY,2012,3.43
FMLE,EGY,2012,2.26
FMLE,EGY,2014,2.13
MLE,EGY,2016,4.31
FMLE,EGY,2010,2.26
FMLE,ERI,2014,5.49
BTSX,ERI,2010,12.7348
MLE,ERI,2019,16.5874
BTSX,ERI,2016,11.4685
MLE,ESP,2017,12.1951
FMLE,ESP,2015,4.12
FMLE,ESP,2014,4.3
MLE,ESP,2013,12.825
BTSX,ESP,2017,8.15
MLE,ESP,2012,11.9201
FMLE,ESP,2012,3.59
FMLE,ESP,2013,4.21
FMLE,ESP,2018,4.14
MLE,ESP,2018,11.5758
BTSX,ESP,2019,7.72
FMLE,ESP,2016,4.08
BTSX,ESP,2012,7.7
FMLE,ESP,2017,4.25
BTSX,ESP,2010,6.93
BTSX,ESP,2011,7.05
MLE,ESP,2015,11.8118
FMLE,ESP,2010,3.09
BTSX,ESP,2013,8.45
BTSX,ESP,2016,7.84
MLE,ESP,2014,12.9463
FMLE,ESP,2019,4.15
FMLE,ESP,2011,3.38
BTSX,ESP,2018,7.79
BTSX,ESP,2014,8.55
BTSX,ESP,2015,7.9
MLE,ESP,2010,10.8673
MLE,ESP,2016,11.7515
MLE,ESP,2019,11.4254
MLE,ESP,2011,10.811
FMLE,EST,2017,8.12
FMLE,EST,2012,7.59
MLE,EST,2019,24.2924
BTSX,EST,2015,15.8892
BTSX,EST,2019,14.8911
BTSX,EST,2014,19.545
MLE,EST,2010,32.7359
BTSX,EST,2013,18.9332
BTSX,EST,2010,18.7913
FMLE,EST,2018,7.06
FMLE,EST,2015,5.36
MLE,EST,2012,36.5467
FMLE,EST,2014,7.17
BTSX,EST,2011,18.2353
BTSX,EST,2016,15.73
FMLE,EST,2010,6.64
FMLE,EST,2013,7.15
FMLE,EST,2011,5.93
MLE,EST,2017,30.7264
MLE,EST,2018,24.6252
BTSX,EST,2018,15.3427
MLE,EST,2015,27.8702
FMLE,EST,2019,6.46
MLE,EST,2016,26.5263
MLE,EST,2014,33.6665
BTSX,EST,2012,21.0896
FMLE,EST,2016,6.2
MLE,EST,2011,32.3345
BTSX,EST,2017,18.7438
MLE,EST,2013,32.4119
FMLE,ETH,2019,3.05
BTSX,ETH,2019,5.38
BTSX,ETH,2010,7.05
MLE,ETH,2017,7.73
FMLE,ETH,2013,3.24
BTSX,ETH,2017,5.4
BTSX,ETH,2016,5.45
FMLE,ETH,2011,4.05
FMLE,ETH,2014,3.17
BTSX,ETH,2012,6.12
MLE,ETH,2011,9.3
MLE,ETH,2010,9.72
MLE,ETH,2014,7.83
FMLE,ETH,2018,3.05
FMLE,ETH,2017,3.07
FMLE,ETH,2010,4.4
MLE,ETH,2019,7.71
MLE,ETH,2018,7.73
BTSX,ETH,2011,6.67
MLE,ETH,2015,7.87
MLE,ETH,2013,8.08
MLE,ETH,2012,8.62
FMLE,ETH,2015,3.17
BTSX,ETH,2014,5.5
FMLE,ETH,2012,3.63
MLE,ETH,2016,7.78
FMLE,ETH,2016,3.11
BTSX,ETH,2013,5.66
BTSX,ETH,2018,5.39
BTSX,ETH,2015,5.52
MLE,FIN,2010,28.2337
BTSX,FIN,2013,17.224
FMLE,FIN,2012,8.41
FMLE,FIN,2013,8.74
FMLE,FIN,2019,7.59
FMLE,FIN,2015,6.63
BTSX,FIN,2011,17.9436
MLE,FIN,2013,25.9972
MLE,FIN,2018,24.5993
BTSX,FIN,2018,16.1713
MLE,FIN,2011,28.0271
FMLE,FIN,2018,7.98
BTSX,FIN,2016,15.2422
MLE,FIN,2019,23.2217
FMLE,FIN,2010,9.26
BTSX,FIN,2012,16.9529
MLE,FIN,2016,23.763
BTSX,FIN,2019,15.2946
MLE,FIN,2017,23.3934
MLE,FIN,2015,21.6654
BTSX,FIN,2015,14.0316
BTSX,FIN,2014,15.4346
MLE,FIN,2012,25.7955
BTSX,FIN,2017,15.926
FMLE,FIN,2017,8.68
BTSX,FIN,2010,18.5722
FMLE,FIN,2014,7.53
FMLE,FIN,2016,6.98
MLE,FIN,2014,23.603
FMLE,FIN,2011,8.21
MLE,FJI,2011,13.4667
MLE,FJI,2018,12.4694
MLE,FJI,2015,12.9542
FMLE,FJI,2010,6.22
MLE,FJI,2016,13.0012
BTSX,FJI,2013,9.98
MLE,FJI,2017,12.7312
FMLE,FJI,2012,6.0
FMLE,FJI,2013,5.88
FMLE,FJI,2018,5.72
FMLE,FJI,2014,5.84
FMLE,FJI,2016,5.72
FMLE,FJI,2011,6.06
BTSX,FJI,2019,8.96
BTSX,FJI,2017,9.31
MLE,FJI,2010,12.9182
FMLE,FJI,2017,5.78
BTSX,FJI,2014,9.69
BTSX,FJI,2018,9.14
FMLE,FJI,2019,5.65
MLE,FJI,2013,13.9411
BTSX,FJI,2016,9.42
MLE,FJI,2014,13.4153
BTSX,FJI,2015,9.39
MLE,FJI,2019,12.1816
MLE,FJI,2012,13.8475
BTSX,FJI,2010,9.64
BTSX,FJI,2011,9.84
FMLE,FJI,2015,5.7
BTSX,FJI,2012,10.0
BTSX,FRA,2016,14.8874
BTSX,FRA,2010,18.2401
MLE,FRA,2018,21.0676
FMLE,FRA,2016,7.96
BTSX,FRA,2014,15.6323
BTSX,FRA,2019,13.7586
FMLE,FRA,2015,8.43
BTSX,FRA,2015,15.8383
FMLE,FRA,2018,7.78
MLE,FRA,2019,20.3521
BTSX,FRA,2017,14.6198
FMLE,FRA,2014,8.81
FMLE,FRA,2013,9.43
BTSX,FRA,2011,18.0141
FMLE,FRA,2012,9.7
BTSX,FRA,2018,14.2124
MLE,FRA,2014,22.8855
MLE,FRA,2016,22.2623
MLE,FRA,2010,26.5432
BTSX,FRA,2013,16.9693
MLE,FRA,2017,21.6987
MLE,FRA,2013,24.9841
MLE,FRA,2015,23.7145
FMLE,FRA,2017,7.97
FMLE,FRA,2010,10.4396
FMLE,FRA,2011,9.94
MLE,FRA,2012,26.3769
FMLE,FRA,2019,7.57
BTSX,FRA,2012,17.7816
MLE,FRA,2011,26.6062
BTSX,FSM,2013,25.5624
MLE,FSM,2011,38.648
BTSX,FSM,2017,27.6814
MLE,FSM,2016,41.4492
BTSX,FSM,2019,28.2149
MLE,FSM,2015,41.3203
FMLE,FSM,2011,11.3378
FMLE,FSM,2012,11.508
FMLE,FSM,2016,12.0237
FMLE,FSM,2017,12.2553
BTSX,FSM,2016,26.9817
MLE,FSM,2014,39.5136
BTSX,FSM,2010,24.4522
FMLE,FSM,2015,12.1532
BTSX,FSM,2015,26.9778
FMLE,FSM,2013,11.5574
FMLE,FSM,2018,12.6027
BTSX,FSM,2014,25.7828
BTSX,FSM,2018,28.2108
FMLE,FSM,2014,11.6015
MLE,FSM,2012,39.0859
MLE,FSM,2017,42.5972
MLE,FSM,2010,37.5194
MLE,FSM,2019,43.1938
MLE,FSM,2013,39.1307
MLE,FSM,2018,43.3001
FMLE,FSM,2010,10.9811
BTSX,FSM,2011,25.2007
FMLE,FSM,2019,12.7212
BTSX,FSM,2012,25.5099
BTSX,GAB,2019,8.41
MLE,GAB,2014,16.2661
FMLE,GAB,2016,2.7
BTSX,GAB,2013,8.64
FMLE,GAB,2013,2.49
FMLE,GAB,2017,2.55
FMLE,GAB,2015,3.05
MLE,GAB,2012,15.0101
MLE,GAB,2015,15.9889
FMLE,GAB,2019,2.4
