SEX,COUNTRY,YEAR,rate
BTSX,ARM,2016,5.71
MLE,ARM,2019,5.58
MLE,ARM,2011,9.5
FMLE,ARM,2015,3.71
FMLE,ATG,2011,0.163
BTSX,ATG,2014,0.441
FMLE,ATG,2016,1.03
MLE,ATG,2015,0.0
MLE,ATG,2011,0.175
BTSX,ATG,2015,0.439
BTSX,ATG,2013,0.0
BTSX,ATG,2010,0.156
FMLE,ATG,2017,0.0
FMLE,ATG,2014,0.85
MLE,ATG,2014,0.0
MLE,ATG,2013,0.0
BTSX,ATG,2018,0.38
MLE,ATG,2019,0.0
MLE,ATG,2018,0.0
FMLE,ATG,2018,0.734
MLE,ATG,2012,0.0
FMLE,ATG,2012,0.0
BTSX,ATG,2011,0.169
BTSX,ATG,2017,0.0
FMLE,ATG,2013,0.0
FMLE,ATG,2019,0.757
MLE,ATG,2017,0.0
MLE,ATG,2016,0.0
BTSX,ATG,2012,0.0
MLE,ATG,2010,0.325
FMLE,ATG,2010,0.0
BTSX,ATG,2019,0.392
BTSX,ATG,2016,0.536
FMLE,ATG,2015,0.846
FMLE,AUS,2017,6.86
MLE,AUS,2011,16.7623
BTSX,AUS,2010,11.6844
FMLE,AUS,2019,6.42
BTSX,AUS,2013,11.5112
BTSX,AUS,2017,13.1345
MLE,AUS,2015,19.7387
BTSX,AUS,2018,12.4461
MLE,AUS,2018,18.729
BTSX,AUS,2014,12.6557
BTSX,AUS,2011,11.2193
FMLE,AUS,2014,6.45
FMLE,AUS,2012,6.35
FMLE,AUS,2016,6.37
FMLE,AUS,2013,6.05
FMLE,AUS,2010,5.67
BTSX,AUS,2015,13.2249
FMLE,AUS,2015,6.76
MLE,AUS,2019,18.6208
BTSX,AUS,2016,12.1697
MLE,AUS,2012,17.1495
BTSX,AUS,2012,11.7423
MLE,AUS,2017,19.4585
FMLE,AUS,2018,6.21
MLE,AUS,2014,18.8952
MLE,AUS,2010,17.699
MLE,AUS,2016,18.015
MLE,AUS,2013,16.9919
BTSX,AUS,2019,12.4975
FMLE,AUS,2011,5.68
MLE,AUT,2017,24.45
FMLE,AUT,2012,7.31
FMLE,AUT,2015,7.6
BTSX,AUT,2018,15.7422
MLE,AUT,2019,22.7871
MLE,AUT,2016,23.6426
MLE,AUT,2014,25.3029
FMLE,AUT,2019,6.65
BTSX,AUT,2017,15.3502
BTSX,AUT,2019,14.5966
BTSX,AUT,2013,16.2247
BTSX,AUT,2010,16.1152
BTSX,AUT,2015,15.9957
MLE,AUT,2018,24.9236
FMLE,AUT,2017,6.57
BTSX,AUT,2016,15.5302
MLE,AUT,2015,24.7532
FMLE,AUT,2011,7.96
MLE,AUT,2013,24.9233
MLE,AUT,2011,25.3776
MLE,AUT,2010,25.1175
FMLE,AUT,2018,6.86
MLE,AUT,2012,25.7084
FMLE,AUT,2014,8.1
FMLE,AUT,2010,7.56
FMLE,AUT,2016,7.73
BTSX,AUT,2011,16.4527
FMLE,AUT,2013,7.92
BTSX,AUT,2014,16.5112
BTSX,AUT,2012,16.2882
BTSX,AZE,2010,4.55
BTSX,AZE,2016,3.99
FMLE,AZE,2018,1.56
FMLE,AZE,2014,1.64
FMLE,AZE,2013,1.68
BTSX,AZE,2018,4.03
MLE,AZE,2010,7.26
FMLE,AZE,2017,1.58
BTSX,AZE,2013,4.27
BTSX,AZE,2014,4.17
MLE,AZE,2012,7.0
BTSX,AZE,2011,4.5
MLE,AZE,2016,6.41
FMLE,AZE,2011,1.85
FMLE,AZE,2012,1.8
BTSX,AZE,2012,4.38
MLE,AZE,2014,6.74
FMLE,AZE,2016,1.59
