"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SDGSUICIDE","PUBLISHED","2005","EMR","","AFG","FMLE","4.5 [2.6-7.3]","4.54000","2.62000","7.29000",""
"SDGSUICIDE","PUBLISHED","2008","EMR","","AFG","FMLE","4.2 [2.4-6.7]","4.15000","2.43000","6.67000",""
"SDGSUICIDE","PUBLISHED","2006","EMR","","AFG","FMLE","4.4 [2.6-7.1]","4.44000","2.59000","7.14000",""
"SDGSUICIDE","PUBLISHED","2013","EMR","","AFG","BTSX","4.0 [2.3-6.7]","4.01000","2.32000","6.68000",""
"SDGSUICIDE","PUBLISHED","2012","EMR","","AFG","MLE","4.3 [2.5-7.3]","4.33000","2.50000","7.27000",""
"SDGSUICIDE","PUBLISHED","2017","EMR","","AFG","FMLE","3.4 [2.0-5.7]","3.44000","1.95000","5.68000",""
"SDGSUICIDE","PUBLISHED","2019","EMR","","AFG","MLE","4.6 [2.6-7.9]","4.63000","2.62000","7.93000",""
"SDGSUICIDE","PUBLISHED","2012","EMR","","AFG","BTSX","4.0 [2.3-6.6]","4.01000","2.33000","6.63000",""
"SDGSUICIDE","PUBLISHED","2009","EMR","","AFG","FMLE","4.0 [2.3-6.4]","3.97000","2.33000","6.38000",""
"SDGSUICIDE","PUBLISHED","2011","EMR","","AFG","BTSX","4.1 [2.4-6.8]","4.12000","2.39000","6.80000",""
"SDGSUICIDE","PUBLISHED","2015","EMR","","AFG","MLE","4.3 [2.5-7.3]","4.34000","2.54000","7.31000",""
"SDGSUICIDE","PUBLISHED","2016","EMR","","AFG","MLE","4.4 [2.6-7.4]","4.39000","2.56000","7.41000",""
"SDGSUICIDE","PUBLISHED","2016","EMR","","AFG","BTSX","4.0 [2.3-6.7]","4.01000","2.31000","6.70000",""
"SDGSUICIDE","PUBLISHED","2000","EMR","","AFG","FMLE","4.8 [2.8-7.7]","4.79000","2.75000","7.70000",""
"SDGSUICIDE","PUBLISHED","2017","EMR","","AFG","MLE","4.6 [2.7-7.9]","4.64000","2.68000","7.89000",""
"SDGSUICIDE","PUBLISHED","2000","EMR","","AFG","MLE","5.0 [2.8-8.3]","5.03000","2.83000","8.33000",""
"SDGSUICIDE","PUBLISHED","2011","EMR","","AFG","FMLE","3.8 [2.2-6.1]","3.77000","2.20000","6.10000",""
"SDGSUICIDE","PUBLISHED","2004","EMR","","AFG","MLE","5.4 [3.1-8.9]","5.39000","3.08000","8.93000",""
"SDGSUICIDE","PUBLISHED","2002","EMR","","AFG","MLE","5.4 [3.0-8.9]","5.35000","3.02000","8.90000",""
"SDGSUICIDE","PUBLISHED","2015","EMR","","AFG","FMLE","3.6 [2.0-5.9]","3.57000","2.04000","5.86000",""
